Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax)
Deposit,2022-03-24 19:27:56,,,,,,,,,,30.0,CZK,,,Transaction ID: CNM85ZNRVSXDQ632,2c9416a9-812f-42e5-b595-8f2199f025a1,,,,
Deposit,2022-03-25 13:32:01,,,,,,,,,,187.13,CZK,,,Free Shares Promotion,e6a4b11d-e42c-4614-8da4-32d86b93bb0f,,,,
Market buy,2022-03-25 13:32:01,US88688T1007,TLRY,Tilray Brands,1.0,8.34,USD,0.04463,,CZK,187.12,CZK,,,,EOF1847358349,0.28,CZK,,
Deposit,2022-10-24 15:14:00,,,,,,,,,,1200.0,CZK,,,Transaction ID: MSLVZR7FC4K4J4C2,be01ab3c-004b-41c5-98f3-f39493731a3a,,,,
Market buy,2022-10-24 15:17:20,US88160R1014,TSLA,Tesla,0.09,203.33,USD,0.04039,,CZK,453.68,CZK,,,,EOF2107085275,0.68,CZK,,
Market buy,2022-10-24 15:23:56,US0378331005,AAPL,Apple,0.2,148.17,USD,0.04035,,CZK,735.45,CZK,,,,EOF2107086196,1.1,CZK,,
Market buy,2022-10-24 15:25:20,US4592001014,IBM,IBM,0.01,131.27,USD,0.04034,,CZK,32.59,CZK,,,,EOF2107086460,0.05,CZK,,
Market sell,2022-11-02 13:30:04,US88688T1007,TLRY,Tilray Brands,1.0,3.76,USD,0.04042,-93.82,CZK,92.88,CZK,,,,EOF2119994110,0.14,CZK,,
Market buy,2022-11-10 18:31:43,US4592001014,IBM,IBM,0.02,139.95,USD,0.04180,,CZK,67.06,CZK,,,,EOF2133703864,0.1,CZK,,
Dividend (Ordinary),2022-11-11 13:57:27,US0378331005,AAPL,Apple,0.2,0.2,USD,Not available,,,0.92,CZK,0.01,USD,,,,,,
Deposit,2022-11-23 20:11:23,,,,,,,,,,1000.0,CZK,,,Transaction ID: HWCXV3S4PXMBFF32,9bcb3a4f-e6fc-4f38-8e17-011e74143bfe,,,,
Market buy,2022-11-23 20:11:54,US88160R1014,TSLA,Tesla,0.2,182.95,USD,0.04265,,CZK,859.03,CZK,,,,EOF2149457862,1.29,CZK,,
Dividend (Ordinary),2022-12-13 14:18:22,US4592001014,IBM,IBM,0.01,1.4,USD,Not available,,,0.32,CZK,0.0,USD,,,,,,
Market buy,2022-12-30 18:41:43,US88160R1014,TSLA,Tesla,0.0438669,121.31,USD,0.04441,,CZK,120.0,CZK,,,,EOF2192126162,0.18,CZK,,
Market buy,2022-12-30 19:21:34,US88160R1014,TSLA,Tesla,0.0182815,121.1,USD,0.04434,,CZK,49.99,CZK,,,,EOF2192128102,0.07,CZK,,
Market sell,2022-12-30 19:57:54,US0378331005,AAPL,Apple,0.0863486,128.2,USD,0.04434,-67.43,CZK,249.25,CZK,,,,EOF2192129779,0.37,CZK,,
Market buy,2022-12-30 19:58:41,US60741F1049,MBLY,Mobileye Global,0.318162,34.67,USD,0.04436,,CZK,249.0,CZK,,,,EOF2192129827,0.37,CZK,,
Deposit,2023-01-23 17:48:01,,,,,,,,,,1000.0,CZK,,,Transaction ID: FWKCXKZW73699VB2,54cd650f-ed11-4509-9e29-59c7c932cef5,,,,
Market buy,2023-01-23 17:48:24,US88160R1014,TSLA,Tesla,0.2560643,142.06,USD,0.04553,,CZK,800.0,CZK,,,,EOF2229389546,1.2,CZK,,
Market buy,2023-01-23 17:49:15,US60741F1049,MBLY,Mobileye Global,0.252584,35.1,USD,0.04553,,CZK,195.0,CZK,,,,EOF2229389628,0.29,CZK,,
Market sell,2023-02-06 19:14:01,US4592001014,IBM,IBM,0.03,136.1,USD,0.04500,-8.77,CZK,90.59,CZK,,,,EOF2256005284,0.14,CZK,,
Market buy,2023-02-06 19:14:22,US60741F1049,MBLY,Mobileye Global,0.093392,40.89,USD,0.04499,,CZK,85.0,CZK,,,,EOF2256005366,0.13,CZK,,
Deposit,2023-02-13 17:35:06,,,,,,,,,,2000.0,CZK,,,Transaction ID: VSK4DCKTLSRMMM52,07e8f513-1ed9-4d80-b8af-f8db32b9c0f8,,,,
Market buy,2023-02-13 17:35:35,US60741F1049,MBLY,Mobileye Global,1.042586,43.22,USD,0.04512,,CZK,1000.0,CZK,,,,EOF2267707737,1.5,CZK,,
Market buy,2023-02-13 17:36:07,US88160R1014,TSLA,Tesla,0.2089366,194.1,USD,0.04512,,CZK,900.0,CZK,,,,EOF2267707769,1.35,CZK,,
Market buy,2023-02-13 17:37:05,US0378331005,AAPL,Apple,0.0292609,153.99,USD,0.04512,,CZK,100.0,CZK,,,,EOF2267707861,0.15,CZK,,
Deposit,2023-02-15 18:35:28,,,,,,,,,,2000.0,CZK,,,Transaction ID: Q3WLBVZN3FLNTM52,7448eef1-4b95-4fb2-99a1-b6af8c3a9b56,,,,
Market buy,2023-02-15 18:35:51,US60741F1049,MBLY,Mobileye Global,0.483831,46.56,USD,0.04512,,CZK,500.0,CZK,,,,EOF2272123430,0.75,CZK,,
Market buy,2023-02-16 08:00:33,IE00B3XXRP09,VUSA,Vanguard S&P 500 (Dist),0.872393,65.49,GBP,0.03771,,CZK,1517.16,CZK,,,,EOF2272145738,2.27,CZK,,
Dividend (Ordinary),2023-02-17 13:59:25,US0378331005,AAPL,Apple,0.1136514,0.2,USD,Not available,,,0.5,CZK,0.0,USD,,,,,,
Deposit,2023-03-11 07:09:07,,,,,,,,,,2000.0,CZK,,,Transaction ID: NPJWCJG4X7HSC2C2,86046df0-f463-41b5-a999-c5584210a963,,,,
Market buy,2023-03-13 08:00:34,IE00B3XXRP09,VUSA,Vanguard S&P 500 (Dist),0.609887,61.53,GBP,0.03758,,CZK,1000.0,CZK,,,,EOF2309715592,1.5,CZK,,
Market buy,2023-03-13 13:30:24,US60741F1049,MBLY,Mobileye Global,0.813477,38.74,USD,0.04508,,CZK,700.0,CZK,,,,EOF2310760936,1.05,CZK,,
Market buy,2023-03-13 13:30:27,US88160R1014,TSLA,Tesla,0.0805366,167.7,USD,0.04508,,CZK,300.0,CZK,,,,EOF2310761218,0.45,CZK,,
